ID;Consommation;Annee;Mois;Jour;Creneau;JourSem;NumSem;temp;cover;hum;dummyJF;vacances_zone_a;vacances_zone_b;vacances_zone_c;nb_zones
2016-01-26-09;53899756287;2016;1;26;9;mardi;4;8,334210526;86,08333333;87,68421053;0;0;0;0;0
2016-01-26-12;51910159160;2016;1;26;12;mardi;4;11,91842105;87,14285714;74,86842105;0;0;0;0;0
2016-01-26-15;48327874661;2016;1;26;15;mardi;4;12,90789474;82,36842105;71,31578947;0;0;0;0;0
2016-01-26-18;53042490331;2016;1;26;18;mardi;4;10,13421053;86,91666667;83,42105263;0;0;0;0;0
2016-01-26-21;48165788864;2016;1;26;21;mardi;4;9,026315789;89,68181818;86,84210526;0;0;0;0;0
2016-01-27-00;44349312885;2016;1;27;0;mercredi;4;8,531578947;98,96;87,71052632;0;0;0;0;0
2016-01-27-03;40538984343;2016;1;27;3;mercredi;4;8,489473684;96,44444444;87,63157895;0;0;0;0;0
2016-01-27-06;49989278435;2016;1;27;6;mercredi;4;8,244736842;95,3125;88,36842105;0;0;0;0;0
2016-01-27-09;53791247395;2016;1;27;9;mercredi;4;9,389473684;94,64516129;85,68421053;0;0;0;0;0
2016-01-27-12;52897165790;2016;1;27;12;mercredi;4;11,79473684;95,20689655;78,42105263;0;0;0;0;0
2016-01-27-15;49321087374;2016;1;27;15;mercredi;4;12,49736842;95,17857143;76,57894737;0;0;0;0;0
2016-01-27-18;52753317832;2016;1;27;18;mercredi;4;10,39210526;95,17857143;83,78947368;0;0;0;0;0
2016-01-27-21;47613126767;2016;1;27;21;mercredi;4;9,55;95;84,86842105;0;0;0;0;0
2016-01-28-00;43907539118;2016;1;28;0;jeudi;4;8,865789474;91,30434783;85,97368421;0;0;0;0;0
2016-01-28-03;40121720344;2016;1;28;3;jeudi;4;8,223684211;91,42857143;86,39473684;0;0;0;0;0
2016-01-28-06;49705447041;2016;1;28;6;jeudi;4;7,505263158;88,23529412;87,52631579;0;0;0;0;0
2016-01-28-09;52776976322;2016;1;28;9;jeudi;4;8,126315789;87,74193548;87,02631579;0;0;0;0;0
2016-01-28-12;51503476756;2016;1;28;12;jeudi;4;10,76052632;82,06896552;75,78947368;0;0;0;0;0
2016-01-28-15;48299149174;2016;1;28;15;jeudi;4;10,92368421;85,16666667;73,55263158;0;0;0;0;0
2016-01-28-18;52800033341;2016;1;28;18;jeudi;4;8,742105263;87,75862069;83,21052632;0;0;0;0;0
2016-01-28-21;48620968611;2016;1;28;21;jeudi;4;7,752631579;84,04;88,18421053;0;0;0;0;0
2016-01-29-00;45429536133;2016;1;29;0;vendredi;4;6,913157895;85,33333333;90,10526316;0;0;0;0;0
2016-01-29-03;42109698766;2016;1;29;3;vendredi;4;6,702631579;87,72;90,78947368;0;0;0;0;0
2016-01-29-06;51818175154;2016;1;29;6;vendredi;4;6,55;81,12121212;90,60526316;0;0;0;0;0
2016-01-29-09;54630060335;2016;1;29;9;vendredi;4;7,671052632;85,53333333;87,84210526;0;0;0;0;0
2016-01-29-12;52775839486;2016;1;29;12;vendredi;4;10,39210526;84,82142857;76,78947368;0;0;0;0;0
2016-01-29-15;48939444267;2016;1;29;15;vendredi;4;10,62368421;85,35714286;75,71052632;0;0;0;0;0
2016-01-29-18;52288355558;2016;1;29;18;vendredi;4;8,713157895;84,10714286;82,60526316;0;0;0;0;0
2016-01-29-21;48544034035;2016;1;29;21;vendredi;4;7,618421053;84,82142857;85,15789474;0;0;0;0;0
2016-01-30-00;44284776040;2016;1;30;0;samedi;4;7,15;94,16666667;86,60526316;0;0;0;0;0
2016-01-30-03;39360230683;2016;1;30;3;samedi;4;6,689473684;93,28;87,42105263;0;0;0;0;0
2016-01-30-06;42779912000;2016;1;30;6;samedi;4;6,263157895;91,06666667;88,23684211;0;0;0;0;0
2016-01-30-09;47743053644;2016;1;30;9;samedi;4;7,634210526;89,85714286;87,26315789;0;0;0;0;0
2016-01-30-12;48193056400;2016;1;30;12;samedi;4;10,25;90;77,65789474;0;0;0;0;0
